DAT,Variety,Treatment,Reply,Main shoot height (cm),Flowering (trusses number),Fruit set (trusses number),Trusses maturing (number),Species,Phenological phase,GDD cumulative,ABA (ng/mg),Antioxidant capacity (μmol Fe II/g FW),Ripe fruits (number),Average air temperature (°C),Average air humidity (%RH),Average daily solar radiation (MJ m-2 day-1),Total chlorophyll (μg/g FW),Fruits EC (mS/cm),Electrolytic leakage (μS/cm),Flavonoids (mg/g FW),Fv/Fm,GA4 (ng/mg),IAA (ng/mg),JA (ng/mg),Lutein (μg/g FW),Fruits lycopene (μg/g DW),Melatonin (ng/mg),Metatopolin (ng/mg),Main shoot leaves (number),Main shoot nodes (number),Osmolytes (osm/kg),Phenols (mg/g FW),Relative water content (%),SA (ng/mg),Stomatal conductance (μmol/sec),Violaxanthin (μg/g FW),Z (ng/mg),Acidity (g citric acid/100 g),Fruits β carotene (μg/g DW),Fruits dry weight (g),Fruits dry weight (%),Fruits firmness (kg/cm2),Lateral shoots (number),Leaves surface (cm²),Fruits pH,Fruits soluble solids (°brix),Stem diameter (cm),Total fresh weight (g),Total dry weight (g),Dry matter (%),Na/K ratio leaves,Na/Ca ratio leaves,Na/K ratio roots,Na/Ca ratio roots,pH,Electrical Conductivity (mS/cm),soluble solids (°brix),dry weight (g),dry weight% (%),firmness (kg/cm2),fresh weight 10 fruits (g),Lycopene (micro  g/g DW),beta-carotene (micro  g/g DW),Ripening (trusses number),Cumulative floral truss fruits (number),Cumulative floral truss length (cm),Days_to_next_phase_from_prev_start,Days_to_next_phase_from_time_0
9.0,CV,C,1,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,C,2,18.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,C,3,19.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,C,4,22.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,C,5,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,C,6,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,CV,S1,1,17.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S1,2,23.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S1,3,17.5,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S1,4,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S1,5,18.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S1,6,19.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.666666666666666,9.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,1,17.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,2,19.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,3,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,4,24.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,5,20.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,CV,S2,6,22.0,0.0,0.0,0.0,S.lycopersicum,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.333333333333334,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,21.0,30.0
9.0,WR10,C,1,18.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,C,2,23.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,C,3,15.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,C,4,17.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,C,5,21.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,C,6,17.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,1,21.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,2,20.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,3,19.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,4,20.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,5,20.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S1,6,17.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,9.166666666666666,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S2,1,17.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S2,2,20.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S2,3,18.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
9.0,WR10,S2,4,20.0,0.0,0.0,0.0,S.pimpinellifolium,vegetative,242.8,,,,19.3,60.9,8.12,,,,,,,,,,,,,8.666666666666666,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,14.0,23.0
